Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,13,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,1.0,10000,17.0,Invalid,2015-04-02,06:10:41
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,13,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.8,10000,17.0,Invalid,2015-04-02,06:10:51
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,13,3.8,1,1,3.78,346.6,1,16,12,1,11,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:11:01
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,14,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:11:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,11,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:11:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,4,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:11:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,12,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:11:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,11,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:11:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,13,3.8,1,1,3.78,346.6,1,16,12,1,11,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:12:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,26,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:12:10
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,34,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:12:20
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,13,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:12:30
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,13,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:12:40
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,11,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:12:50
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,14,3.8,1,1,3.78,346.6,1,16,12,1,1,9,56.0,0.6,10000,17.0,Invalid,2015-04-02,06:13:00
Electric_Taxi,Tongzhou_District,E200EV_ElectricTaxi,1,88,3.8,1,1,3.78,346.5,1,16,12,1,1,9,56.0,1.5,10000,17.0,Invalid,2015-04-02,06:13:10
